certificateType,registeredPersonNumber,accreditationCode,generationYear,generationState,startSerialNumber,endSerialNumber,fuelSource,ownerAccount,ownerAccountId,status
STC,16082,PVD2585209,2016,TAS,1,87,S.G.U. - solar (deemed),Mode Electrical (Tas) Pty Ltd,33682,Pending audit
STC,13711,PVD2585257,2016,QLD,1,128,S.G.U. - solar (deemed),SAE Group Pty Ltd,29281,Pending audit
STC,18910,PVD2569897,2016,SA,1,43,S.G.U. - solar (deemed),Tindo Solar Pty Ltd,38349,Invalid due to audit
STC,18454,PVD2585258,2016,SA,1,107,S.G.U. - solar (deemed),Emerging Energy Solutions Group Pty Ltd,35465,Pending audit
STC,17934,PVD2585259,2016,NSW,1,63,S.G.U. - solar (deemed),HANTTON RENEWABLE ENERGY AUSTRALIA PTY LTD,36205,Pending audit
LGC,12585,WD00NS07,2016,NSW,138525,151437,Wind,Gunning Wind Energy Developments Pty Ltd,30385,Pending creation fee payment
STC,8072,PVD2569900,2016,WA,1,107,S.G.U. - solar (deemed),Solar E Pty Ltd,20682,Invalid due to audit
LGC,19602,WD00VC20,2016,VIC,291050,320294,Wind,Bald Hills Wind Farm Pty Ltd,39411,Pending creation fee payment
STC,11661,PVD2551300,2016,NSW,1,115,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2560237,2016,QLD,1,64,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2568001,2016,NSW,1,64,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2568943,2016,NSW,1,47,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2569073,2016,NSW,1,32,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2569082,2016,NSW,1,123,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2571227,2016,NSW,1,71,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2579734,2016,NSW,1,71,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2579805,2016,NSW,1,47,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2580082,2016,QLD,1,123,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2580114,2016,NSW,1,75,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2580904,2016,NSW,1,137,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2581021,2016,NSW,1,215,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2581031,2016,NT,1,105,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2582037,2016,QLD,1,134,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2582050,2016,QLD,1,86,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2582069,2016,QLD,1,86,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
STC,11661,PVD2582196,2016,NSW,1,71,S.G.U. - solar (deemed),Green engineering pty ltd,29112,Pending transfer
